"","Catalog.Number","Kind.of.Object","Scientific.Name","Family","Phylum","Class","Order","Identified.By","Date.Identified","Current.Identification","Other.Identifications","Type.Status","Type.Citations","Kind.of.Voucher","Classification","Common.Name","Collection.Name","Specimen.Count","Sex.and.Stage","Preparation.Details..Preparation.Remarks.","Station.Number","Collector.s.","Date.Collected","Collection.Method","Ocean","Sea.Gulf","Bay.Sound","Country","Province.State","District.County","City.Town","Precise.Locality","Centroid.Latitude","Centroid.Longitude","Elevation..m.","Expedition.Name","Vessel","Cruise","River.Basin","Microhabitat.Description","Depth..m.","Depth.Notes","Geologic.Age","Notes","Field.Number.s.","Other.Numbers..Type...Value.","Accession.Number","Genetic.Sample.Type","Biorepository.Number","Specimen.Voucher.Number","Bold.ID","GenBank.Numbers","Preservation.Method","Embargo.","Depleted.","Record.Last.Modified","EZID","Year.Collected","Species.Clean"
"27","USNM 14366","Specimen/Lot","Eunicea (Euniceopsis) tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea (Euniceopsis) tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","2655","United States Fish Commission","2 May 1886","Trawl - Large Beam","North Atlantic Ocean","","","Bahamas","","","","Little Bahama Bank, Grand Cay, North of",27.3667,-78.125,NA,"","Albatross R/V","",NA,"","618","",NA,"","USFC/A2655","",NA,NA,NA,NA,NA,"",NA,NA,NA,"31 Jan 2018 19:12:00","http://n2t.net/ark:/65665/3f4872deb-abbd-4cf7-844c-f0c41b5d1293",1886,"Eunicea tourneforti"
"704","USNM 100609","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","Apr 2000","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Miller, M. W.","17 Mar 2000","","North Atlantic Ocean","Caribbean Sea","","","","","","Navassa Island, NW Point",NA,NA,NA,"","","",NA,"","","",NA,"","","",2016440,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/35f047649-3533-44bd-b378-4fbb0368d71c",2000,"Eunicea tourneforti"
"705","USNM 14366","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","2",NA,"Dry","2655","United States Fish Commission","2 May 1886","Trawl - Large Beam","North Atlantic Ocean","","","Bahamas","","","","Little Bahama Bank, Grand Cay, North of",27.3667,-78.125,NA,"","Albatross R/V","",NA,"","618","",NA,"","USFC/A2655","",0,NA,NA,NA,NA,"",NA,NA,NA,"31 Jan 2018 19:12:00","http://n2t.net/ark:/65665/3be31f182-a50f-4c44-8368-3e1335a52974",1886,"Eunicea tourneforti"
"706","USNM 14399","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","15",NA,"Dry","2655","United States Fish Commission","2 May 1886","Trawl - Large Beam","North Atlantic Ocean","","","Bahamas","","","","Little Bahama Bank, Grand Cay, North of",27.3667,-78.125,NA,"","Albatross R/V","",NA,"","618","",NA,"","USFC/A2655","",0,NA,NA,NA,NA,"",NA,NA,NA,"31 Jan 2018 19:12:00","http://n2t.net/ark:/65665/322efbc53-ccd1-46f7-9f77-50b1bb1e559e",1886,"Eunicea tourneforti"
"707","USNM 1630","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Woodbury","","","North Atlantic Ocean","Gulf of Mexico","","United States","Florida","","","Florida Keys, Dry Tortugas, Garden Key",NA,NA,NA,"","","",NA,"","","",NA,"","","",0,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3697983e9-f557-4358-93ad-6c8816752c41",NA,"Eunicea tourneforti"
"708","USNM 19054","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","19 Mar 1959","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","2",NA,"Dry","","Stanton, W. A.","Aug 1898","","North Atlantic Ocean","Caribbean Sea","","Belize","","","","Reef at Spanish Caye",NA,NA,NA,"","","",NA,"","","",NA,"","","",34976,NA,NA,NA,NA,"",NA,NA,NA,"01 Apr 2016 14:57:00","http://n2t.net/ark:/65665/356bbca5a-c711-4bf5-a4e0-ec0227c22ff4",1898,"Eunicea tourneforti"
"709","USNM 42137","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","NOT REC.","United States Fish Commission","1898","","North Atlantic Ocean","Caribbean Sea","","Puerto Rico","","","","Playa De Ponce Reef",NA,NA,NA,"Puerto Rico Expedition 1898-1899","Fish Hawk R/V","",NA,"","","",NA,"","","",0,NA,NA,NA,NA,"",NA,NA,NA,"11 Mar 2019 18:32:00","http://n2t.net/ark:/65665/3e3d25603-4852-447a-b709-6e303ae37785",1898,"Eunicea tourneforti"
"710","USNM 44051","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","423","Questel, A.","1946","","North Atlantic Ocean","Caribbean Sea","","Guadeloupe","","","","Grande Terre Island",NA,NA,NA,"","","",NA,"","2 to 4","",NA,"","","",175262,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/39669d1aa-8841-472f-a528-3be3ee64f736",1946,"Eunicea tourneforti"
"711","USNM 50267","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Deichmann, Elizabeth","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","1116B","Hummelinck, P. W.","15 Jul 1949","","North Atlantic Ocean","Caribbean Sea","","Netherlands Antilles","","","","St. Eustatius Island, Gallows Bay, Southern Part Of Bay",NA,NA,NA,"","","",NA,"","2","",NA,"","","",189993,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/30dd38cd2-0f28-45ef-9f98-b64b7b7d9ccc",1949,"Eunicea tourneforti"
"712","USNM 50316","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","3",NA,"Dry","","Bayer, F. M.","Apr 1948","","North Atlantic Ocean","","","United States","Florida","","","Bache Shoal, Off Elliott Key",NA,NA,NA,"","","",NA,"","4","",NA,"","","",178792,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3c3fb49fd-0738-4f8a-ab3b-8bcac0ea0032",1948,"Eunicea tourneforti"
"713","USNM 50329","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","103-56","Schmitt, W. L.; Chace, F. A.; Nicholson, D. V.","12 Apr 1956","","North Atlantic Ocean","Caribbean Sea","","St. Kitts and Nevis","","","","St. Kitts (St. Christopher), windward beach opposite Frigate Bay, coral reef just off shore",NA,NA,NA,"Smithsonian - Bredin Caribbean Expedition","Freelance R/V","",NA,"","","",NA,"","BREDIN/103-56","",208263,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3e1d57150-2daf-4e69-ae40-bd73eb19f421",1956,"Eunicea tourneforti"
"714","USNM 50368","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Stiasny, G.","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1 ca.",NA,"Dry","","van Koolwijk, A. J.","1880","","North Atlantic Ocean","Caribbean Sea","","Netherlands Antilles","","","","Curacao",12.1667,-69,NA,"","","",NA,"","","",NA,"","","",189993,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/373d9aa22-93c6-4b52-9027-ec9a45bf28e1",1880,"Eunicea tourneforti"
"715","USNM 50427","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Hummelinck, P. W.","5 Jul 1955","","North Atlantic Ocean","Caribbean Sea","","St. Martin","","","","Point Blanche Bay",NA,NA,NA,"","","",NA,"","","",NA,"","","",189993,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/37b76db4b-93d4-48ad-a44f-513846240639",1955,"Eunicea tourneforti"
"716","USNM 50551","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Limbaugh, C.","1956 (-- SUM 1956)","","North Atlantic Ocean","","","Bahamas","","","","New Providence Island",NA,NA,NA,"","","",NA,"","","",NA,"","","",212963,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3a62d52e0-a1e8-4b41-893c-6bb9d85310a7",1956,"Eunicea tourneforti"
"717","USNM 50603","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Bartsch, P.","29 May 1912","","North Atlantic Ocean","","","United States","Florida","","","Miami, Key Biscayne",NA,NA,NA,"","","",NA,"","5 to 10","",NA,"","","",54232,NA,NA,NA,NA,"",NA,NA,NA,"31 Oct 2017 17:13:00","http://n2t.net/ark:/65665/3fd1b643b-910e-4ca1-831c-448bfae722b0",1912,"Eunicea tourneforti"
"718","USNM 51358","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Fontaine, A.","23 Nov 1952","","North Atlantic Ocean","Caribbean Sea","","Jamaica","","","","St. Ann's, Don Cristopher Cove",NA,NA,NA,"","","",NA,"","","",NA,"","","",225529,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/33c2d35a3-eefe-43c8-917a-66586adc5112",1952,"Eunicea tourneforti"
"719","USNM 51388","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Fontaine, A.","1 Mar 1953","","North Atlantic Ocean","Caribbean Sea","","Jamaica","","","","St. Ann's, Don Cristopher Cove",NA,NA,NA,"","","",NA,"","","",NA,"","","",227105,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/377fb5e54-74f8-4083-84e9-e41f90879cdf",1953,"Eunicea tourneforti"
"720","USNM 51389","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","","","","North Atlantic Ocean","Caribbean Sea","","Jamaica","","","","",18.25,-77.5,NA,"","","",NA,"","","",NA,"","","",227105,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3e76e2d58-8053-4eb4-95a1-76862eef43e1",NA,"Eunicea tourneforti"
"721","USNM 51429","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Hildebrand, H. H.; Compton, H.","Jul 1959","","North Atlantic Ocean","Gulf of Mexico","","Mexico","Yucatan","","","Campeche Bank, Alacran Reef, Perez Island",NA,NA,NA,"","","",NA,"","1 to 3","",NA,"","","",227964,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/34016df54-cef5-4e73-b848-c72107b15e64",1959,"Eunicea tourneforti"
"722","USNM 51564","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1 ca.",NA,"Alcohol (Ethanol); DRY","17","Chess, T.","9 Jan 1960","","North Atlantic Ocean","Caribbean Sea","","Virgin Islands of the United States","","","","St. John Island, Chocolate Hole",NA,NA,NA,"","","",NA,"","7.5","",NA,"","","",229953,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/358413bcb-1776-4b0a-a03f-c2456bcdf3bc",1960,"Eunicea tourneforti"
"723","USNM 51727","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1960","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","Hypotype","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Bayer, F. M.","10 Oct 1960","","North Atlantic Ocean","","","United States","Florida","","","Miami, Biscayne Bay, Soldier Key",NA,NA,NA,"","","",NA,"","","",NA,"","","",231965,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3c2e1ee6a-05eb-4ccc-b490-f8c010b9ee3e",1960,"Eunicea tourneforti"
"724","USNM 51728","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1960","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","Hypotype","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Bayer, F. M.","10 Oct 1960","","North Atlantic Ocean","","","United States","Florida","","","Miami, Biscayne Bay, Soldier Key",NA,NA,NA,"","","",NA,"","","",NA,"","","",231965,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3d57dfc33-ef78-444e-bd53-3a955e87fbf5",1960,"Eunicea tourneforti"
"725","USNM 51729","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1960","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","Hypotype","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Bayer, F. M.","10 Oct 1960","","North Atlantic Ocean","","","United States","Florida","","","Miami, Biscayne Bay, Soldier Key",NA,NA,NA,"","","",NA,"","","",NA,"","","",231965,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3756919dd-5328-4b52-9015-2af37829ab10",1960,"Eunicea tourneforti"
"726","USNM 51730","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","14","Tucker, T.","25 Aug 1960","","North Atlantic Ocean","","","Bermuda","","","","St. George's Island, Fort St. Catherine",NA,NA,NA,"","","",NA,"","6 to 9","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3c1116aa3-571e-4a68-861e-64b4efbb8c43",1960,"Eunicea tourneforti"
"727","USNM 51731","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","14","Tucker, T.","25 Aug 1960","","North Atlantic Ocean","","","Bermuda","","","","St. George's Island, Fort St. Catherine",NA,NA,NA,"","","",NA,"","6 to 9","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/38379b2b5-27c8-4d89-8ace-267ac4ab0be1",1960,"Eunicea tourneforti"
"728","USNM 51732","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","14","Tucker, T.","25 Aug 1960","","North Atlantic Ocean","","","Bermuda","","","","St. George's Island, Fort St. Catherine",NA,NA,NA,"","","",NA,"","6 to 9","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/380998568-3639-4c96-9a73-b68c6a11f8bd",1960,"Eunicea tourneforti"
"729","USNM 51833","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","14","Tucker, T.","25 Aug 1960","","North Atlantic Ocean","","","Bermuda","","","","St. George's Island, Fort St. Catherine",NA,NA,NA,"","","",NA,"","6 to 9","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3562ba3ad-dcf1-424d-8e0c-a236fc586606",1960,"Eunicea tourneforti"
"730","USNM 51834","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","14","Tucker, T.","25 Aug 1960","","North Atlantic Ocean","","","Bermuda","","","","St. George's Island, Fort St. Catherine",NA,NA,NA,"","","",NA,"","6 to 9","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/341a5f0c9-2bb9-42c7-8371-f70abd000abc",1960,"Eunicea tourneforti"
"731","USNM 51835","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","20","Tucker, T.","1 Sep 1960","","North Atlantic Ocean","","","Bermuda","","","","Somerset Island, SW Of",NA,NA,NA,"","","",NA,"","5.5 to 6.1","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"16 Jun 2016 13:13:00","http://n2t.net/ark:/65665/33eab8160-50f2-429a-b7d7-6f10141c07d3",1960,"Eunicea tourneforti"
"732","USNM 51857","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1960","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Bayer, F. M.","10 Oct 1960","","North Atlantic Ocean","","","United States","Florida","","","Miami, Biscayne Bay, Soldier Key",NA,NA,NA,"","","",NA,"","","",NA,"","","",231965,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3f579a9a7-bc23-45aa-9e9f-51c4a8101533",1960,"Eunicea tourneforti"
"733","USNM 51858","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1960","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Bayer, F. M.","10 Oct 1960","","North Atlantic Ocean","","","United States","Florida","","","Miami, Biscayne Bay, Soldier Key",NA,NA,NA,"","","",NA,"","","",NA,"","","",231965,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3120507e2-6900-4e63-82ce-47be30b07573",1960,"Eunicea tourneforti"
