Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation Details (Preparation:Remarks),Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"USNM 1201675","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, Smithsonian Institution, National Museum of Natural History","","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Stewart, J.","Nov 1959","","North Pacific Ocean","","","Mexico","Baja California","","","Turtle Bay area, Pacific side","","","","","","","","","15 to 18","","","","","","225531","","","","","","","","","26 Mar 2013 20:07:00","http://n2t.net/ark:/65665/377651aea-01aa-490d-9bd4-414690dbb1c7"
"USNM 1201676","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, Smithsonian Institution, National Museum of Natural History","","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Stewart, J.; Quast, J. C.","Feb 1960","","North Pacific Ocean","","","Mexico","Baja California","","","Guadalupe Island","","","","","","","","","43","","","","","","225531","","","","","","","","","26 Mar 2013 20:07:00","http://n2t.net/ark:/65665/308161a61-a394-4919-a1ec-f73d53bcc4ae"
"USNM 1201677","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, Smithsonian Institution, National Museum of Natural History","","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",4,"","Dry","","Limbaugh, C.; Stewart, J.","Mar 1959","","North Pacific Ocean","","","Mexico","Baja California","","","Cape San Lucas Canyon","","","","","","","","","0 to 15","","","","","","225531","","","","","","","","","26 Mar 2013 20:07:00","http://n2t.net/ark:/65665/3035900d0-10d4-4263-8aac-e3ee58ae43a0"
"USNM 1201678","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, Smithsonian Institution, National Museum of Natural History","","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","Dry","","Gayman, W.","May 1959","","North Pacific Ocean","Gulf of California","","Mexico","Baja California","","","30 Mile South Of San Felipe near Punta Diggs","","","","","","","","","","","","Tag with specimens states, ""Dead on beach.""","","","225531","","","","","","","","","26 Mar 2013 20:07:00","http://n2t.net/ark:/65665/3908b09be-9d72-41aa-b06a-b769eb54dd0a"
"USNM 1204373","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, Smithsonian Institution, National Museum of Natural History","1 Apr 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Wolterding, M.","1978","","North Pacific Ocean","Gulf of Fonseca","","El Salvador","","","","","","","","","","","","","","","","","","","356847","","","","","","","","","16 Jul 2013 19:15:00","http://n2t.net/ark:/65665/311da2d8b-9f11-4c45-a21c-1aa6fd0f30cb"
"USNM 17757","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","16 Apr 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","","","","North Atlantic Ocean","Gulf of Mexico","","Mexico","Tamaulipas","","","Off Matamoros","","","","","","","","","","","","Denuded axis used to weave bands for wrist watches.","","","024727","","","","","","","","","16 Jul 2013 19:15:00","http://n2t.net/ark:/65665/3cf62e2b9-c537-45f0-86e4-b25820cfcd7c"
"USNM 1210327","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, Smithsonian Institution, National Museum of Natural History","25 Jun 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",3,"","Dry","","Stewart, J.; North, W.","24 Feb 1960","","North Pacific Ocean","","","Mexico","Baja California","","","Turtle Bay","","","","","","","","","11","","","","","","225531","","","","","","","","","16 Jul 2013 19:15:00","http://n2t.net/ark:/65665/313b2b018-e208-474e-a77a-d8e76bb84aa5"
"USNM 1211192","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","17 Jun 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Laborel, J.","Jul 1964","","South Atlantic Ocean","","","Brazil","Bahia","","","Abrolhos Islands, pass between Siriba and Redonda Islands","","","","","","","","","","","","","","","322031","","","","","","","","","16 Jul 2013 19:15:00","http://n2t.net/ark:/65665/33d89c9be-6c09-4d83-b7c0-06fe00860525"
"USNM 1211193","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","17 Jun 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Laborel, J.","Sep 1964","","South Atlantic Ocean","","","Brazil","","","","Cabo Frio, Isla dos Papagaios","","","","","","","","","2","","","","","","322031","","","","","","","","","16 Jul 2013 19:15:00","http://n2t.net/ark:/65665/37d536399-9b16-480e-80f7-45f62356b8ed"
"USNM 1211251","Specimen/Lot","Leptogorgia sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Muzik, Katherine M., (UNITED STATES)","","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Rainey, W. E.","12 Dec 1976","","North Pacific Ocean","Gulf of California","","Mexico","Sonora","","","on beach at Desemboque del Rio San Ignacio","","","","","","","","","","","","","","","327322","","","","","","","","","10 May 2016 17:33:00","http://n2t.net/ark:/65665/3e6370ba6-208e-4aae-b0da-3c17b038b05a"
