,id,type
454,FUN_039209,gene
455,FUN_038130,gene
456,FUN_038183,gene
457,FUN_037926,gene
458,FUN_038386,gene
459,FUN_038526,gene
460,FUN_039290,gene
461,FUN_039303,gene
462,FUN_040784,gene
463,FUN_039789,gene
464,FUN_040102,gene
465,FUN_040118,gene
466,FUN_040150,gene
467,FUN_040263,gene
468,FUN_040307,gene
469,FUN_041578,gene
470,FUN_041607,gene
471,FUN_041640,gene
472,FUN_041799,gene
473,FUN_042279,gene
474,FUN_042130,gene
475,FUN_042946,gene
476,FUN_043097,gene
477,FUN_043468,gene
478,FUN_043475,gene
479,FUN_001498,gene
480,FUN_001500,gene
481,FUN_001514,gene
482,FUN_001656,gene
483,FUN_001878,gene
484,FUN_000378,gene
485,FUN_000565,gene
486,FUN_000856,gene
487,FUN_000980,gene
488,FUN_001181,gene
489,FUN_002338,gene
490,FUN_004228,gene
491,FUN_004568,gene
492,FUN_004569,gene
493,FUN_004909,gene
494,FUN_002644,gene
495,FUN_002668,gene
496,FUN_002692,gene
497,FUN_003366,gene
498,FUN_006329,gene
499,FUN_006768,gene
500,FUN_006864,gene
501,FUN_007156,gene
502,FUN_005856,gene
503,FUN_005863,gene
504,FUN_005864,gene
505,FUN_005992,gene
506,FUN_008544,gene
507,FUN_008584,gene
508,FUN_008661,gene
509,FUN_008759,gene
510,FUN_007955,gene
511,FUN_009763,gene
512,FUN_009308,gene
513,FUN_011275,gene
514,FUN_013332,gene
515,FUN_013561,gene
516,FUN_013591,gene
517,FUN_013889,gene
518,FUN_011749,gene
519,FUN_014940,gene
520,FUN_014974,gene
521,FUN_015272,gene
522,FUN_016296,gene
523,FUN_018521,gene
524,FUN_018715,gene
525,FUN_018790,gene
526,FUN_018796,gene
527,FUN_019015,gene
528,FUN_017932,gene
529,FUN_018008,gene
530,FUN_020869,gene
531,FUN_022540,gene
532,FUN_022569,gene
533,FUN_022625,gene
534,FUN_021940,gene
535,FUN_022013,gene
536,FUN_022044,gene
537,FUN_022259,gene
538,FUN_022261,gene
539,FUN_023014,gene
540,FUN_023160,gene
541,FUN_023402,gene
542,FUN_025035,gene
543,FUN_024632,gene
544,FUN_024633,gene
545,FUN_025518,gene
546,FUN_026104,gene
547,FUN_026401,gene
548,FUN_027783,gene
549,FUN_027983,gene
550,FUN_028985,gene
551,FUN_029406,gene
552,FUN_031251,gene
553,FUN_031592,gene
554,FUN_031711,gene
555,FUN_032020,gene
556,FUN_032038,gene
557,FUN_032160,gene
558,FUN_032253,gene
559,FUN_032287,gene
560,FUN_032310,gene
561,FUN_032651,gene
562,FUN_034689,gene
563,FUN_033790,gene
564,FUN_034007,gene
565,FUN_034036,gene
566,FUN_034113,gene
567,FUN_034230,gene
568,FUN_034368,gene
569,FUN_034385,gene
570,FUN_034483,gene
571,FUN_035645,gene
572,FUN_035756,gene
573,FUN_034780,gene
574,FUN_035945,gene
575,FUN_036047,gene
576,FUN_036052,gene
577,FUN_036073,gene
578,FUN_036158,gene
579,FUN_035272,gene
580,FUN_035460,gene
581,FUN_037456,gene
582,FUN_037779,gene
583,FUN_037808,gene
584,FUN_037826,gene
585,FUN_037229,gene
586,FUN_037285,gene
587,FUN_037341,gene
588,FUN_037355,gene
589,FUN_038727,gene
590,FUN_037941,gene
591,FUN_039876,gene
592,FUN_040090,gene
593,FUN_040140,gene
594,FUN_040271,gene
595,FUN_041264,gene
596,FUN_041277,gene
597,FUN_041665,gene
598,FUN_042582,gene
599,FUN_043193,gene
600,FUN_043500,gene
601,FUN_043547,gene
602,FUN_001386,gene
603,FUN_001398,gene
604,FUN_001421,gene
605,FUN_001447,gene
606,FUN_001473,gene
607,FUN_001479,gene
608,FUN_001527,gene
609,FUN_001530,gene
610,FUN_001532,gene
611,FUN_001562,gene
612,FUN_000315,gene
613,FUN_000318,gene
614,FUN_001640,gene
615,FUN_001735,gene
616,FUN_002102,gene
617,FUN_002105,gene
618,FUN_000372,gene
619,FUN_000217,gene
620,FUN_000574,gene
621,FUN_000223,gene
622,FUN_000874,gene
623,FUN_000985,gene
624,FUN_001016,gene
625,FUN_001028,gene
626,FUN_001114,gene
627,FUN_001148,gene
628,FUN_001215,gene
629,FUN_003469,gene
630,FUN_003532,gene
631,FUN_002424,gene
632,FUN_002425,gene
633,FUN_003789,gene
634,FUN_003886,gene
635,FUN_003904,gene
636,FUN_002453,gene
637,FUN_004041,gene
638,FUN_004109,gene
639,FUN_004115,gene
640,FUN_004156,gene
641,FUN_004162,gene
642,FUN_004205,gene
643,FUN_004264,gene
644,FUN_004291,gene
645,FUN_004351,gene
646,FUN_004373,gene
647,FUN_004376,gene
648,FUN_004386,gene
649,FUN_004414,gene
650,FUN_004424,gene
651,FUN_004432,gene
652,FUN_004475,gene
653,FUN_004476,gene
654,FUN_004628,gene
655,FUN_002502,gene
656,FUN_004666,gene
657,FUN_004690,gene
658,FUN_004780,gene
659,FUN_004870,gene
660,FUN_004896,gene
661,FUN_005150,gene
662,FUN_005151,gene
663,FUN_005153,gene
664,FUN_002539,gene
665,FUN_005258,gene
666,FUN_005313,gene
667,FUN_005479,gene
668,FUN_005486,gene
669,FUN_002678,gene
670,FUN_002682,gene
671,FUN_002683,gene
672,FUN_002861,gene
673,FUN_002929,gene
674,FUN_003163,gene
675,FUN_006339,gene
676,FUN_006491,gene
677,FUN_006514,gene
678,FUN_006775,gene
679,FUN_006865,gene
680,FUN_006877,gene
681,FUN_006885,gene
682,FUN_007020,gene
683,FUN_007025,gene
684,FUN_007122,gene
685,FUN_007182,gene
686,FUN_005724,gene
687,FUN_005812,gene
688,FUN_005883,gene
689,FUN_005894,gene
690,FUN_005921,gene
691,FUN_005949,gene
692,FUN_006221,gene
693,FUN_006236,gene
694,FUN_008328,gene
695,FUN_008368,gene
696,FUN_008388,gene
697,FUN_008396,gene
698,FUN_008398,gene
699,FUN_008428,gene
700,FUN_008519,gene
701,FUN_008580,gene
702,FUN_008639,gene
703,FUN_008642,gene
704,FUN_008662,gene
705,FUN_008701,gene
706,FUN_008704,gene
707,FUN_008706,gene
708,FUN_008721,gene
709,FUN_008735,gene
710,FUN_008756,gene
711,FUN_008758,gene
712,FUN_008792,gene
713,FUN_007690,gene
714,FUN_007694,gene
715,FUN_007708,gene
716,FUN_007778,gene
717,FUN_007779,gene
718,FUN_007783,gene
719,FUN_007788,gene
720,FUN_007797,gene
721,FUN_007836,gene
722,FUN_007837,gene
723,FUN_007947,gene
724,FUN_008214,gene
725,FUN_008274,gene
726,FUN_008283,gene
727,FUN_008973,gene
728,FUN_009661,gene
729,FUN_009736,gene
730,FUN_008985,gene
731,FUN_009961,gene
732,FUN_010018,gene
733,FUN_009026,gene
734,FUN_009048,gene
735,FUN_009075,gene
736,FUN_009245,gene
737,FUN_009357,gene
738,FUN_009362,gene
739,FUN_009370,gene
740,FUN_008935,gene
741,FUN_009467,gene
742,FUN_009560,gene
743,FUN_010637,gene
744,FUN_010689,gene
745,FUN_010565,gene
746,FUN_010566,gene
747,FUN_010785,gene
748,FUN_010840,gene
749,FUN_010875,gene
750,FUN_010946,gene
751,FUN_010982,gene
752,FUN_010984,gene
753,FUN_010990,gene
754,FUN_010603,gene
755,FUN_011071,gene
756,FUN_010614,gene
757,FUN_011416,gene
758,FUN_010630,gene
759,FUN_011431,gene
760,FUN_012598,gene
761,FUN_012662,gene
762,FUN_012739,gene
763,FUN_012784,gene
764,FUN_013022,gene
765,FUN_013314,gene
766,FUN_013325,gene
767,FUN_013357,gene
768,FUN_013365,gene
769,FUN_013438,gene
770,FUN_013454,gene
771,FUN_011691,gene
772,FUN_013623,gene
773,FUN_013788,gene
774,FUN_013872,gene
775,FUN_011911,gene
776,FUN_014179,gene
777,FUN_011699,gene
778,FUN_012001,gene
779,FUN_012149,gene
780,FUN_011721,gene
781,FUN_012276,gene
782,FUN_012296,gene
783,FUN_011740,gene
784,FUN_012335,gene
785,FUN_011741,gene
786,FUN_012350,gene
787,FUN_012411,gene
788,FUN_012418,gene
789,FUN_012419,gene
790,FUN_012465,gene
791,FUN_015429,gene
792,FUN_015438,gene
793,FUN_015473,gene
794,FUN_015486,gene
795,FUN_015487,gene
796,FUN_015515,gene
797,FUN_015622,gene
798,FUN_014586,gene
799,FUN_014592,gene
800,FUN_015711,gene
801,FUN_015742,gene
802,FUN_015765,gene
803,FUN_014638,gene
804,FUN_014653,gene
805,FUN_014655,gene
806,FUN_014657,gene
807,FUN_014668,gene
808,FUN_014690,gene
809,FUN_014740,gene
810,FUN_014752,gene
811,FUN_014753,gene
812,FUN_014448,gene
813,FUN_014449,gene
814,FUN_014770,gene
815,FUN_014789,gene
816,FUN_014450,gene
817,FUN_014456,gene
818,FUN_014856,gene
819,FUN_014864,gene
820,FUN_014875,gene
821,FUN_014896,gene
822,FUN_014936,gene
823,FUN_014955,gene
824,FUN_014983,gene
825,FUN_014477,gene
826,FUN_015041,gene
827,FUN_015056,gene
828,FUN_015057,gene
829,FUN_015058,gene
830,FUN_014486,gene
831,FUN_015091,gene
832,FUN_014489,gene
833,FUN_014490,gene
834,FUN_015164,gene
835,FUN_014511,gene
836,FUN_014514,gene
837,FUN_015282,gene
838,FUN_014524,gene
839,FUN_015408,gene
840,FUN_016130,gene
841,FUN_015989,gene
842,FUN_016151,gene
843,FUN_016163,gene
844,FUN_016007,gene
845,FUN_017235,gene
846,FUN_016314,gene
847,FUN_016342,gene
848,FUN_016395,gene
849,FUN_016202,gene
850,FUN_016491,gene
851,FUN_016559,gene
852,FUN_016580,gene
853,FUN_016604,gene
854,FUN_016708,gene
855,FUN_016724,gene
856,FUN_016729,gene
857,FUN_016740,gene
858,FUN_016748,gene
859,FUN_016780,gene
860,FUN_016840,gene
861,FUN_016243,gene
862,FUN_016964,gene
863,FUN_016979,gene
864,FUN_018500,gene
865,FUN_018526,gene
866,FUN_018598,gene
867,FUN_018656,gene
868,FUN_017919,gene
869,FUN_017920,gene
870,FUN_017972,gene
871,FUN_017777,gene
872,FUN_017782,gene
873,FUN_018055,gene
874,FUN_018069,gene
875,FUN_018190,gene
876,FUN_018219,gene
877,FUN_018226,gene
878,FUN_018245,gene
879,FUN_018352,gene
880,FUN_018362,gene
881,FUN_018405,gene
882,FUN_018415,gene
883,FUN_018465,gene
884,FUN_018470,gene
