,id,type
454,FUN_028211,gene
455,FUN_028271,gene
456,FUN_028327,gene
457,FUN_028351,gene
458,FUN_028354,gene
459,FUN_027219,gene
460,FUN_028508,gene
461,FUN_028511,gene
462,FUN_027285,gene
463,FUN_027408,gene
464,FUN_027715,gene
465,FUN_027749,gene
466,FUN_028586,gene
467,FUN_028708,gene
468,FUN_028728,gene
469,FUN_028765,gene
470,FUN_028802,gene
471,FUN_028810,gene
472,FUN_028939,gene
473,FUN_029014,gene
474,FUN_029063,gene
475,FUN_029096,gene
476,FUN_029098,gene
477,FUN_029170,gene
478,FUN_030186,gene
479,FUN_030873,gene
480,FUN_031067,gene
481,FUN_031083,gene
482,FUN_031257,gene
483,FUN_031335,gene
484,FUN_031375,gene
485,FUN_031517,gene
486,FUN_031533,gene
487,FUN_031567,gene
488,FUN_031657,gene
489,FUN_031693,gene
490,FUN_031990,gene
491,FUN_032144,gene
492,FUN_032336,gene
493,FUN_032349,gene
494,FUN_032438,gene
495,FUN_032520,gene
496,FUN_032525,gene
497,FUN_029561,gene
498,FUN_032782,gene
499,FUN_032803,gene
500,FUN_032810,gene
501,FUN_032825,gene
502,FUN_032859,gene
503,FUN_032894,gene
504,FUN_032924,gene
505,FUN_032947,gene
506,FUN_029312,gene
507,FUN_033008,gene
508,FUN_033014,gene
509,FUN_033015,gene
510,FUN_033037,gene
511,FUN_033062,gene
512,FUN_033126,gene
513,FUN_033159,gene
514,FUN_033162,gene
515,FUN_029655,gene
516,FUN_033352,gene
517,FUN_033508,gene
518,FUN_033509,gene
519,FUN_029699,gene
520,FUN_029705,gene
521,FUN_029742,gene
522,FUN_029327,gene
523,FUN_029884,gene
524,FUN_029886,gene
525,FUN_029340,gene
526,FUN_029992,gene
527,FUN_030060,gene
528,FUN_030065,gene
529,FUN_034660,gene
530,FUN_034696,gene
531,FUN_033815,gene
532,FUN_033909,gene
533,FUN_033956,gene
534,FUN_034000,gene
535,FUN_034001,gene
536,FUN_034002,gene
537,FUN_034064,gene
538,FUN_034098,gene
539,FUN_033715,gene
540,FUN_034263,gene
541,FUN_034266,gene
542,FUN_034267,gene
543,FUN_034286,gene
544,FUN_034599,gene
545,FUN_034626,gene
546,FUN_035748,gene
547,FUN_035815,gene
548,FUN_035837,gene
549,FUN_034780,gene
550,FUN_035973,gene
551,FUN_035998,gene
552,FUN_036016,gene
553,FUN_036018,gene
554,FUN_036029,gene
555,FUN_036072,gene
556,FUN_036077,gene
557,FUN_036086,gene
558,FUN_036087,gene
559,FUN_035012,gene
