,id,type,DEG_tp2_tp4,GO_id
492,FUN_009137,gene,no,GO:0051301
493,FUN_009137,gene,no,GO:0072686
494,FUN_009137,gene,no,GO:0097431
495,FUN_009137,gene,no,GO:1990023
496,FUN_009140,gene,no,GO:0000922
497,FUN_009140,gene,no,GO:0005737
498,FUN_009140,gene,no,GO:0005815
499,FUN_009140,gene,no,GO:0007049
500,FUN_009140,gene,no,GO:0007346
501,FUN_009140,gene,no,GO:0019900
502,FUN_009140,gene,no,GO:0030496
503,FUN_009140,gene,no,GO:0051301
504,FUN_009149,gene,no,GO:0000922
505,FUN_009149,gene,no,GO:0005737
506,FUN_009149,gene,no,GO:0005815
507,FUN_009149,gene,no,GO:0007049
508,FUN_009149,gene,no,GO:0007346
509,FUN_009149,gene,no,GO:0019900
510,FUN_009149,gene,no,GO:0030496
511,FUN_009149,gene,no,GO:0051301
512,FUN_009155,gene,no,GO:0000922
513,FUN_009155,gene,no,GO:0005737
514,FUN_009155,gene,no,GO:0005815
515,FUN_009155,gene,no,GO:0007049
516,FUN_009155,gene,no,GO:0007346
517,FUN_009155,gene,no,GO:0019900
518,FUN_009155,gene,no,GO:0030496
519,FUN_009155,gene,no,GO:0051301
520,FUN_009240,gene,no,GO:0000922
521,FUN_009240,gene,no,GO:0005737
522,FUN_009240,gene,no,GO:0005815
523,FUN_009240,gene,no,GO:0007049
524,FUN_009240,gene,no,GO:0007346
525,FUN_009240,gene,no,GO:0019900
526,FUN_009240,gene,no,GO:0030496
527,FUN_009240,gene,no,GO:0051301
528,FUN_009397,gene,no,GO:0005576
529,FUN_010691,gene,no,GO:0000082
530,FUN_010691,gene,no,GO:0000209
531,FUN_010691,gene,no,GO:0000932
532,FUN_010691,gene,no,GO:0004842
533,FUN_010691,gene,no,GO:0008270
534,FUN_010691,gene,no,GO:0008543
535,FUN_010691,gene,no,GO:0010172
536,FUN_010691,gene,no,GO:0010586
537,FUN_010691,gene,no,GO:0017148
538,FUN_010691,gene,no,GO:0021915
539,FUN_010691,gene,no,GO:0030371
540,FUN_010691,gene,no,GO:0035198
541,FUN_010691,gene,no,GO:0035278
542,FUN_010691,gene,no,GO:0043161
543,FUN_010691,gene,no,GO:0051865
544,FUN_010691,gene,no,GO:0060964
545,FUN_010691,gene,no,GO:0061630
546,FUN_010691,gene,no,GO:0072089
547,FUN_010691,gene,no,GO:2000177
548,FUN_010694,gene,no,GO:0000082
549,FUN_010694,gene,no,GO:0000209
550,FUN_010694,gene,no,GO:0000932
551,FUN_010694,gene,no,GO:0004842
552,FUN_010694,gene,no,GO:0008270
553,FUN_010694,gene,no,GO:0008543
554,FUN_010694,gene,no,GO:0010172
555,FUN_010694,gene,no,GO:0010586
556,FUN_010694,gene,no,GO:0017148
557,FUN_010694,gene,no,GO:0021915
558,FUN_010694,gene,no,GO:0030371
559,FUN_010694,gene,no,GO:0035198
560,FUN_010694,gene,no,GO:0035278
561,FUN_010694,gene,no,GO:0043161
562,FUN_010694,gene,no,GO:0051865
563,FUN_010694,gene,no,GO:0060964
564,FUN_010694,gene,no,GO:0061630
565,FUN_010694,gene,no,GO:0072089
566,FUN_010694,gene,no,GO:2000177
567,FUN_010706,gene,no,GO:0003676
568,FUN_010706,gene,no,GO:0003887
569,FUN_010706,gene,no,GO:0005737
570,FUN_010706,gene,no,GO:0008270
571,FUN_010706,gene,no,GO:0015074
572,FUN_010706,gene,no,GO:0019899
573,FUN_010706,gene,no,GO:0042575
574,FUN_010844,gene,no,GO:0000922
575,FUN_010844,gene,no,GO:0005737
576,FUN_010844,gene,no,GO:0005815
577,FUN_010844,gene,no,GO:0007049
578,FUN_010844,gene,no,GO:0007346
579,FUN_010844,gene,no,GO:0019900
580,FUN_010844,gene,no,GO:0030496
581,FUN_010844,gene,no,GO:0051301
582,FUN_010596,gene,no,GO:0001172
583,FUN_010596,gene,no,GO:0003727
584,FUN_010596,gene,no,GO:0003968
585,FUN_010596,gene,no,GO:0005634
586,FUN_010596,gene,no,GO:0005654
587,FUN_010596,gene,no,GO:0005730
588,FUN_010596,gene,no,GO:0010495
589,FUN_010596,gene,no,GO:0030422
590,FUN_010596,gene,no,GO:0031380
591,FUN_010596,gene,no,GO:0032774
592,FUN_010596,gene,no,GO:0046872
593,FUN_010596,gene,no,GO:0050832
594,FUN_010596,gene,no,GO:0071667
595,FUN_012666,gene,no,GO:0003677
596,FUN_012666,gene,no,GO:0005634
597,FUN_012666,gene,no,GO:0046872
598,FUN_012666,gene,no,GO:0046983
599,FUN_012737,gene,no,GO:0003964
600,FUN_012737,gene,no,GO:0046872
601,FUN_013483,gene,no,GO:0004674
602,FUN_013483,gene,no,GO:0005524
603,FUN_013483,gene,no,GO:0005770
604,FUN_013483,gene,no,GO:0005776
605,FUN_013483,gene,no,GO:0005829
606,FUN_013483,gene,no,GO:0005930
607,FUN_013483,gene,no,GO:0006468
608,FUN_013483,gene,no,GO:0006622
609,FUN_013483,gene,no,GO:0006623
610,FUN_013483,gene,no,GO:0010506
611,FUN_013483,gene,no,GO:0015630
612,FUN_013483,gene,no,GO:0016236
613,FUN_013483,gene,no,GO:0016241
614,FUN_013483,gene,no,GO:0030242
615,FUN_013483,gene,no,GO:0032465
616,FUN_013483,gene,no,GO:0032801
617,FUN_013483,gene,no,GO:0034271
618,FUN_013483,gene,no,GO:0034272
619,FUN_013483,gene,no,GO:0035032
620,FUN_013483,gene,no,GO:0036092
621,FUN_013483,gene,no,GO:0042149
622,FUN_013483,gene,no,GO:0043231
623,FUN_013483,gene,no,GO:0043552
624,FUN_013483,gene,no,GO:0045022
625,FUN_013483,gene,no,GO:0045324
626,FUN_013483,gene,no,GO:0071561
627,FUN_013483,gene,no,GO:0097352
628,FUN_013483,gene,no,GO:0106310
629,FUN_013520,gene,no,GO:0004672
630,FUN_013520,gene,no,GO:0004674
631,FUN_013520,gene,no,GO:0005524
632,FUN_013520,gene,no,GO:0005770
633,FUN_013520,gene,no,GO:0005776
634,FUN_013520,gene,no,GO:0005829
635,FUN_013520,gene,no,GO:0005930
636,FUN_013520,gene,no,GO:0006468
637,FUN_013520,gene,no,GO:0006622
638,FUN_013520,gene,no,GO:0006623
639,FUN_013520,gene,no,GO:0010506
640,FUN_013520,gene,no,GO:0015630
641,FUN_013520,gene,no,GO:0016020
642,FUN_013520,gene,no,GO:0016236
643,FUN_013520,gene,no,GO:0016241
644,FUN_013520,gene,no,GO:0030242
645,FUN_013520,gene,no,GO:0030670
646,FUN_013520,gene,no,GO:0032465
647,FUN_013520,gene,no,GO:0032801
648,FUN_013520,gene,no,GO:0034271
649,FUN_013520,gene,no,GO:0034272
650,FUN_013520,gene,no,GO:0035032
651,FUN_013520,gene,no,GO:0036092
652,FUN_013520,gene,no,GO:0042149
653,FUN_013520,gene,no,GO:0043231
654,FUN_013520,gene,no,GO:0043552
655,FUN_013520,gene,no,GO:0045022
656,FUN_013520,gene,no,GO:0045324
657,FUN_013520,gene,no,GO:0071561
658,FUN_013520,gene,no,GO:0097352
659,FUN_013520,gene,no,GO:0106310
660,FUN_011696,gene,no,GO:0003964
661,FUN_011696,gene,no,GO:0006313
662,FUN_014090,gene,no,GO:0001764
